name,code
Bad Hersfeld,06632002
Bad Hindelang,09780123
Bad Homburg v.d. Höhe,06434001
Bad Honnef,05382008
Bad Hönningen,07138004
Bad Iburg,03459004
Bad Karlshafen,06633002
Bad Kissingen,09672114
Bad Kleinen,13074002
Bad Klosterlausnitz,16074003
Bad Kohlgrub,09180112
Bad König,06437001
Bad Königshofen i. Grabfeld,09673141
Bad Köstritz,16076003
Bad Kötzting,09372137
Bad Kreuznach,07133006
Bad Krozingen,08315006
Bad Laasphe,05970028
Bad Laer,03459005
Bad Langensalza,16064003
Bad Lauchstädt,15088025
Bad Lausick,14729010
Bad Lauterberg im Harz,03156002
Bad Liebenstein,16063099
Bad Liebenwerda,12062024
Bad Liebenzell,08235008
Bad Lippspringe,05774008
Bad Lobenstein,16075062
Bad Marienberg (Westerwald),07143206
Bad Mergentheim,08128007
Bad Münder am Deister,03252002
Bad Münstereifel,05366004
Bad Muskau,14626010
Bad Nauheim,06440002
Bad Nenndorf,03257006
Bad Neuenahr-Ahrweiler,07131007
Bad Neustadt a.d. Saale,09673114
Bad Oeynhausen,05770004
Bad Oldesloe,01062004
Bad Orb,06435001
Bad Peterstal-Griesbach,08317008
Bad Pyrmont,03252003
Bad Rappenau,08125006
Bad Reichenhall,09172114
Bad Rippoldsau-Schapbach,08237075
Bad Rodach,09473158
Bad Rothenfelde,03459006
Bad Saarow,12067024
Bad Sachsa,03156003
Bad Säckingen,08337096
Bad Salzdetfurth,03254005
Bad Salzschlirf,06631001
Bad Salzuflen,05766008
Bad Salzungen,16063003
Bad Sassendorf,05974008
Bad Saulgau,08437100
Bad Schandau,14628030
Bad Schlema,14521050
Bad Schmiedeberg,15091020
Bad Schönborn,08215100
Bad Schussenried,08426014
Bad Schwalbach,06439002
Bad Schwartau,01055004
Bad Segeberg,01060005
Bad Sobernheim,07133501
Bad Soden am Taunus,06436001
Bad Soden-Salmünster,06435002
Bad Sooden-Allendorf,06636001
Bad Staffelstein,09478165
Bad Steben,09475112
